"gameId","playId","snapDetail","snapTime","operationTime","hangTime","kickType","kickDirectionIntended","kickDirectionActual","returnDirectionIntended","returnDirectionActual","missedTackler","assistTackler","tackler","kickoffReturnFormation","gunners","puntRushers","specialTeamsSafeties","vises","kickContactType"
2018090600,2225,NA,NA,NA,3.98,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"ATL 17; ATL 22",NA,NA
2018090600,2406,"OK",0.83,2.04,4.69,"N","C","C",NA,NA,NA,NA,NA,NA,"PHI 18; PHI 29","ATL 25; ATL 54",NA,"ATL 83; ATL 21","CC"
2018090600,2599,"OK",0.86,2.35,4.16,"N","L","L","C","C","ATL 85",NA,"ATL 54",NA,"ATL 83; ATL 28","PHI 57",NA,"PHI 29; PHI 37; PHI 32","CC"
2018090600,2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL 42",NA,NA
2018090600,2899,NA,NA,NA,4.24,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"PHI 23; PHI 27",NA,NA
2018090600,3026,"OK",0.71,2.1,4.66,"N","L","L",NA,NA,NA,NA,NA,NA,"ATL 17; ATL 28","PHI 18; PHI 28; PHI 30; PHI 37; PHI 47; PHI 50; PHI 54; PHI 57",NA,"PHI 29; PHI 32","BF"
2018090600,3225,"<",0.66,2.12,4.08,"N","L","L",NA,NA,NA,NA,NA,NA,"ATL 82; ATL 17; ATL 28","PHI 18","PHI 43","PHI 29; PHI 32","MBC"
2018090600,3553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI 55; PHI 58",NA,NA
2018090600,3569,NA,NA,NA,3.3,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"ATL 14; ATL 17",NA,NA
2018090600,3736,"OK",0.69,2.03,4.2,"N","C","L",NA,NA,NA,NA,NA,NA,"PHI 18; PHI 29",NA,NA,"ATL 83; ATL 27; ATL 17; ATL 34","BF"
2018090600,3868,"OK",0.65,2.09,4.4,"N","C","C","C","R","ATL 17",NA,"ATL 85",NA,"ATL 17; ATL 28","PHI 18; PHI 28; PHI 30; PHI 37; PHI 54; PHI 57",NA,"PHI 29; PHI 32","CC"
2018090600,4127,NA,NA,NA,3.92,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"PHI 23; PHI 27",NA,NA
2018090900,36,NA,NA,NA,3.83,"D","C","C","L","L",NA,NA,"BUF 50","8-0-2",NA,NA,"BUF 24; BUF 30",NA,NA
2018090900,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 49",NA,NA
2018090900,400,NA,NA,NA,4.21,"D","C","C","C","C",NA,NA,"BAL 49","8-0-2",NA,NA,"BAL 25; BAL 26",NA,NA
2018090900,485,"OK",0.8,2.11,4.34,"N","C","R","L","L",NA,"BUF 57","BUF 42",NA,"BUF 30; BUF 26",NA,NA,"BAL 36; BAL 29; BAL 26","CC"
2018090900,575,"OK",0.8,2.15,4.2,"A","L","L","R","R",NA,NA,"BAL 54",NA,"BAL 26; BAL 10",NA,NA,"BUF 29; BUF 30; BUF 26","CFFG"
2018090900,674,"OK",0.8,2.03,4.78,"N","C","C","L","L","BUF 26","BUF 57","BUF 18",NA,"BUF 30; BUF 26",NA,NA,"BAL 36; BAL 26; BAL 25","CC"
2018090900,972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 27; BUF 49",NA,NA
2018090900,988,NA,NA,NA,4.3,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"BAL 25; BAL 26",NA,NA
2018090900,1136,"OK",0.82,2.05,3.62,"N","C","C","L","L","BUF 30; BUF 50; BUF 69",NA,"BUF 57",NA,"BUF 30; BUF 26","BAL 36; BAL 37; BAL 49; BAL 54; BAL 56",NA,"BAL 28; BAL 26","CC"
2018090900,1226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 28; BUF 49",NA,NA
2018090900,1245,NA,NA,NA,4.22,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"BAL 25; BAL 26",NA,NA
2018090900,1360,"H",0.86,2.16,4.52,"N","C","C","C","C","BUF 26",NA,"BUF 18",NA,"BUF 30; BUF 26","BAL 10","BAL 41","BAL 28; BAL 36; BAL 26","CC"
2018090900,1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL 36; BAL 49",NA,NA
2018090900,1772,"OK",0.82,2.25,3.9,"N","C","C",NA,NA,NA,NA,NA,NA,"BAL 26; BAL 10","BUF 82",NA,"BUF 16; BUF 30; BUF 26","BB"
2018090900,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 49",NA,NA
2018090900,1992,NA,NA,NA,3.99,"D","C","C","C","C",NA,NA,"BAL 56","8-0-2",NA,NA,"BAL 25; BAL 28",NA,NA
2018090900,2097,"OK",0.9,2.2,4.67,"N","C","C",NA,NA,NA,NA,NA,NA,"BUF 30; BUF 26",NA,"BAL 41","BAL 28; BAL 36; BAL 26","MBDR"
2018090900,2416,NA,NA,NA,NA,"Q","C","C","C","C","BAL 10; BAL 29",NA,"BAL 36","8-0-2",NA,NA,NA,NA,NA
2018090900,2493,NA,NA,NA,3.84,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"BAL 25; BAL 26",NA,NA
2018090900,2616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,2757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 49",NA,NA
2018090900,2777,NA,NA,NA,3.92,"D","C","C","C","C",NA,NA,"BAL 41","8-0-2",NA,NA,"BAL 25; BAL 26",NA,NA
2018090900,2899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 28; BUF 49",NA,NA
2018090900,2915,NA,NA,NA,3.88,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"BAL 25; BAL 28",NA,NA
2018090900,2996,"OK",0.78,2.1,2.78,"N","C","C",NA,NA,NA,NA,NA,NA,"BUF 30; BUF 26","BAL 54",NA,"BAL 28; BAL 36; BAL 29","BF"
2018090900,3079,"OK",0.84,2.21,4.06,"N","C","C","C","C",NA,NA,"BAL 26",NA,"BAL 26; BAL 10",NA,NA,"BUF 16; BUF 29; BUF 30; BUF 26","CC"
2018090900,3461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL 36; BAL 49",NA,NA
2018090900,3491,NA,NA,NA,3.64,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"BUF 28; BUF 30",NA,NA
2018090900,3655,"OK",0.86,2.25,4.07,"N","L","L","R","R",NA,NA,"BAL 26",NA,"BAL 26; BAL 28",NA,NA,"BUF 30; BUF 26","CC"
2018090900,3851,">",0.94,2.25,3.23,"N","R","R","L","L",NA,NA,"BUF 26",NA,"BUF 30; BUF 26","BAL 56",NA,"BAL 28; BAL 36; BAL 29","CFFG"
2018090900,4220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF 49",NA,NA
2018090900,4236,NA,NA,NA,3.81,"D","C","C","R","R","BAL 09",NA,"BAL 28","8-0-2",NA,NA,"BAL 25; BAL 28",NA,NA
2018090900,4325,"OK",0.85,2.08,3.8,"A","R","R",NA,NA,NA,NA,NA,NA,"BUF 30; BUF 26","BAL 10",NA,"BAL 28; BAL 36; BAL 25","CC"
2018090900,4464,"L",0.9,2.25,3.84,"A","L","L",NA,NA,NA,NA,NA,NA,"BAL 26; BAL 10",NA,NA,"BUF 29; BUF 30; BUF 26","BF"
2018090901,36,NA,NA,NA,4.25,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"CLE 23; CLE 26",NA,NA
2018090901,118,"OK",0.89,2.22,3.53,"N","L","L",NA,NA,NA,NA,NA,NA,"PIT 20; PIT 88",NA,"CLE 23","CLE 20; CLE 39","OOB"
2018090901,313,"OK",0.86,2.07,4.13,"A","C","C",NA,NA,NA,NA,NA,NA,"CLE 20; CLE 37","PIT 45",NA,"PIT 25; PIT 23; PIT 88","BF"
2018090901,474,"OK",0.9,2.26,4,"N","L","L",NA,NA,NA,NA,NA,NA,"PIT 20; PIT 88",NA,"CLE 23","CLE 20; CLE 39","BF"
2018090901,588,"OK",0.9,2.17,4.02,"N","C","C","C","C",NA,NA,"CLE 26",NA,"CLE 20; CLE 37","PIT 45",NA,"PIT 25; PIT 23; PIT 88","CC"
2018090901,887,"OK",0.87,2.19,4.77,"N","C","C","R","R",NA,NA,NA,NA,"CLE 38; CLE 37","PIT 20; PIT 34; PIT 37; PIT 44; PIT 45; PIT 54; PIT 56",NA,"PIT 25; PIT 23; PIT 88","CC"
2018090901,1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE 53",NA,NA
2018090901,1491,"OK",0.77,2.06,3.92,"A","L","L","C","C",NA,NA,"CLE 37",NA,"CLE 37; CLE 38","PIT 45",NA,"PIT 25; PIT 23; PIT 88","CC"
2018090901,1723,"OK",0.84,2.06,3.9,"A","R","R",NA,NA,NA,NA,NA,NA,"CLE 38; CLE 37","PIT 20; PIT 34; PIT 37; PIT 44; PIT 45; PIT 54; PIT 56; PIT 88",NA,"PIT 25; PIT 23","BB"
2018090901,2022,NA,NA,NA,3.9,"D","C","C","L","L",NA,NA,NA,"8-0-1",NA,NA,"PIT 20; PIT 28",NA,NA
2018090901,2286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT 23; PIT 34",NA,NA
2018090901,2302,NA,NA,NA,3.95,"D","C","C","L","C",NA,NA,"CLE 37","8-0-2",NA,NA,"CLE 23; CLE 26",NA,NA
2018090901,2473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE 53",NA,NA
2018090901,2489,NA,NA,NA,4.17,"D","R","R","C","C",NA,NA,"PIT 44","8-0-1",NA,NA,"PIT 20; PIT 28",NA,NA
2018090901,2632,"OK",0.89,2.25,3.86,"N","C","C","L","L",NA,NA,"CLE 26",NA,"CLE 38; CLE 37",NA,"PIT 88","PIT 20; PIT 25; PIT 23","CC"
2018090901,2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE 53",NA,NA
2018090901,2735,NA,NA,NA,3.92,"P","C","C","C","C",NA,NA,"PIT 44","8-0-1",NA,NA,"PIT 20; PIT 28",NA,NA
2018090901,2907,"OK",0.86,2.14,4.22,"A","L","L",NA,NA,NA,NA,NA,NA,"CLE 38; CLE 37","PIT 45",NA,"PIT 25; PIT 23; PIT 88","CC"
2018090901,3215,"OK",0.94,2.28,4.08,"A","L","L",NA,NA,NA,NA,NA,NA,"PIT 20; PIT 88",NA,"CLE 23; CLE 38","CLE 20; CLE 39","CC"
2018090901,3349,"OK",0.92,2.3,4.25,"N","R","R",NA,NA,NA,NA,NA,NA,"CLE 27; CLE 37","PIT 45",NA,"PIT 13; PIT 25; PIT 88","BF"
2018090901,3463,"OK",0.99,2.37,4.57,"N","R","R",NA,NA,NA,NA,NA,NA,"PIT 20; PIT 88",NA,"CLE 26","CLE 20; CLE 23; CLE 39; CLE 38","BF"
2018090901,3799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT 20; PIT 34",NA,NA
2018090901,3815,NA,NA,NA,3.68,"P","R","R","L","L","CLE 37",NA,"CLE 82","8-0-2",NA,NA,"CLE 23; CLE 26",NA,NA
2018090901,3960,"OK",0.86,2.09,4.21,"N","R","R",NA,NA,NA,NA,NA,NA,"CLE 27; CLE 37","PIT 45",NA,"PIT 13; PIT 25; PIT 88","BF"
2018090901,4136,"L",0.94,2.31,4.1,"N","C","C","C","C","PIT 44; PIT 46",NA,"PIT 37",NA,"PIT 46; PIT 88",NA,"CLE 23","CLE 20; CLE 39; CLE 38","CC"
2018090901,4214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT 20; PIT 34",NA,NA
2018090901,4245,NA,NA,NA,3.81,"D","C","C","C","C",NA,NA,"CLE 23","8-0-2",NA,NA,"CLE 23; CLE 26",NA,NA
2018090901,4352,"OK",0.9,2.28,4.81,"N","C","C",NA,NA,NA,NA,NA,NA,"PIT 46; PIT 88",NA,"CLE 23","CLE 20; CLE 39; CLE 38","CC"
2018090901,4560,NA,NA,NA,3.85,"D","C","C",NA,NA,NA,NA,NA,"8-0-1",NA,NA,"PIT 20; PIT 28",NA,NA
2018090901,4648,"OK",0.85,2.17,4.34,"N","R","R",NA,NA,NA,NA,NA,NA,"CLE 38; CLE 37","PIT 45",NA,"PIT 13; PIT 25; PIT 88","CC"
2018090901,4833,"OK",0.91,2.27,4.98,"N","C","C",NA,NA,NA,NA,NA,NA,"PIT 46; PIT 88","CLE 84","CLE 37","CLE 20; CLE 39; CLE 38","CC"
2018090901,4965,"H",0.94,2.23,2.95,"N","L","L",NA,NA,NA,NA,NA,NA,"CLE 38; CLE 37","PIT 45",NA,"PIT 13; PIT 25; PIT 88","OOB"
2018090901,5191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE 53",NA,NA
2018090901,5480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT 20; PIT 34",NA,NA
2018090902,36,NA,NA,NA,4.02,"D","L","L","R","R","IND 49","IND 23","IND 41","8-0-2",NA,NA,"IND 23; IND 26",NA,NA
2018090902,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND 50",NA,NA
2018090902,413,NA,NA,NA,4.05,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"CIN 33; CIN 36",NA,NA
2018090902,757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN 21; CIN 57",NA,NA
2018090902,776,NA,NA,NA,4.08,"D","L","L",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"IND 23; IND 26",NA,NA
2018090902,1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN 57",NA,NA
2018090902,1126,NA,NA,NA,4.04,"D","R","R",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"IND 23; IND 26",NA,NA
2018090902,1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN 21; CIN 57",NA,NA
2018090902,1593,NA,NA,NA,4.08,"D","L","L",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"IND 23; IND 26",NA,NA
2018090902,1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND 50",NA,NA
2018090902,1793,NA,NA,NA,3.5,"D","L","L","R","R",NA,"CIN 29","CIN 33","8-0-2",NA,NA,"CIN 21; CIN 23",NA,NA
2018090902,2084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN 21; CIN 57",NA,NA
2018090902,2103,NA,NA,NA,NA,"Q","C","C","C","C",NA,NA,"IND 36","8-0-2",NA,NA,"IND 23; IND 26",NA,NA
2018090902,2142,NA,NA,NA,3.98,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"CIN 23; CIN 33",NA,NA
2018090902,2228,"OK",0.9,2.14,4.14,"N","L","L","R","R","IND 28","IND 28","IND 44",NA,"IND 28; IND 30",NA,NA,"CIN 40; CIN 80; CIN 29; CIN 21","CC"
2018090902,2340,"OK",0.87,2.21,4.45,"N","L","L",NA,NA,NA,NA,NA,NA,"CIN 40; CIN 29",NA,"IND 41","IND 23; IND 27; IND 35","MBDR"
2018090902,2634,NA,NA,NA,3.95,"D","R","R",NA,NA,NA,NA,NA,"8-0-1",NA,NA,"IND 23; IND 26",NA,NA
2018090902,2849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND 50",NA,NA
2018090902,2866,NA,NA,NA,4.16,"D","R","R",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"CIN 23; CIN 33",NA,NA
2018090902,3135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN 21; CIN 57",NA,NA
2018090902,3440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND 50",NA,NA
2018090902,3456,NA,NA,NA,3.92,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"CIN 21; CIN 23",NA,NA
2018090902,3547,"OK",0.95,2.19,5.08,"N","C","C",NA,NA,NA,NA,NA,NA,"IND 30; IND 14","CIN 33","CIN 80","CIN 40; CIN 29; CIN 21","CC"
2018090902,3873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND 35",NA,NA
2018090902,3892,NA,NA,NA,4.1,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"CIN 23; CIN 33",NA,NA
2018090902,4260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND 50",NA,NA
2018090902,4276,NA,NA,NA,4.06,"D","R","R","C","C","CIN 40; CIN 87",NA,"CIN 29","8-0-2",NA,NA,"CIN 21",NA,NA
2018090903,36,NA,NA,NA,3.91,"D","C","C","L","L",NA,NA,"MIA 22","8-0-2",NA,NA,"MIA 22; MIA 28",NA,NA
2018090903,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA 28",NA,NA
2018090903,259,NA,NA,NA,4.01,"D","C","C","C","C",NA,NA,"TEN 52","8-0-2",NA,NA,"TEN 24; TEN 36",NA,NA
2018090903,407,"H",0.92,2.25,4.85,"N","L","L",NA,NA,NA,NA,NA,NA,"MIA 35; MIA 24","TEN 81",NA,"TEN 21; TEN 26","BF"
2018090903,1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN 24; TEN 31; TEN 53",NA,NA
2018090903,1110,NA,NA,NA,4.12,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"MIA 22; MIA 28",NA,NA
2018090903,1257,"OK",0.83,2.05,3.22,"N","R","R",NA,NA,NA,NA,NA,NA,"TEN 36; TEN 29","MIA 16; MIA 34; MIA 38; MIA 59; MIA 85; MIA 90",NA,"MIA 30; MIA 35","BF"
2018090903,1844,"OK",0.75,2.05,4.09,"N","R","R","C","C","TEN 36",NA,"TEN 32",NA,"TEN 36; TEN 29","MIA 16; MIA 34; MIA 38; MIA 59; MIA 85; MIA 90",NA,NA,"CC"
2018090903,1907,NA,NA,NA,4.05,"D","R","R",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"TEN 24; TEN 36",NA,NA
2018090903,1993,"OK",0.91,2.07,3.4,"N","C","C","C","C","MIA 24; MIA 55; MIA 59; MIA 85",NA,"MIA 38",NA,"MIA 35; MIA 24","TEN 81",NA,"TEN 21; TEN 26","CC"
2018090903,2094,"OK",0.79,2.11,4.12,"A","L","L",NA,NA,NA,NA,NA,NA,"TEN 36; TEN 29","MIA 22; MIA 47; MIA 91; MIA 95","MIA 29","MIA 25; MIA 28","CC"
2018090903,2176,"L",1.07,2.33,4.57,"N","C","C","C","C",NA,NA,"MIA 35",NA,"MIA 35; MIA 24","TEN 81",NA,"TEN 20; TEN 26","CC"
2018090903,2661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN 31; TEN 53",NA,NA
2018090903,2680,NA,NA,NA,4.18,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"MIA 22; MIA 28",NA,NA
2018090903,2940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA 28",NA,NA
2018090903,2956,NA,NA,NA,4.19,"D","C","C","R","R",NA,NA,NA,"8-0-2",NA,NA,"TEN 24; TEN 36",NA,NA
2018090903,2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN 53",NA,NA
2018090903,2992,NA,NA,NA,4.01,"D","L","L",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"MIA 22; MIA 28",NA,NA
2018090903,3163,"OK",0.85,2.18,4.4,"N","R","R",NA,NA,NA,NA,"TEN 29",NA,"TEN 36; TEN 29","MIA 16; MIA 34; MIA 38; MIA 59; MIA 85; MIA 90","MIA 29","MIA 24; MIA 30","CC"
2018090903,3284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN 51",NA,NA
2018090903,3300,NA,NA,NA,3.99,"D","C","C","R","C","MIA 07",NA,NA,"8-0-2",NA,NA,"MIA 22; MIA 28",NA,NA
2018090903,3334,NA,NA,NA,NA,"F","L","L",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"TEN 24; TEN 36",NA,NA
2018090903,3690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN 53",NA,NA
2018090903,3713,NA,NA,NA,4.34,"D","L","L",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"MIA 28; MIA 30",NA,NA
2018090903,3982,"OK",0.65,1.49,3.89,"A","C","C",NA,NA,NA,NA,NA,NA,NA,"TEN 20; TEN 25; TEN 26; TEN 29; TEN 32; TEN 36; TEN 41; TEN 52; TEN 53; TEN 55; TEN 81",NA,NA,"BF"
2018090903,4143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA 28",NA,NA
2018090903,4162,NA,NA,NA,NA,"O","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"TEN 19",NA,NA
2018090905,36,NA,NA,NA,3.77,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"HOU 20; HOU 31; HOU 57",NA,NA
2018090905,114,"OK",0.86,2.31,4.14,"N","R","R",NA,NA,NA,NA,NA,NA,"NE 31; NE 18",NA,NA,"HOU 33; HOU 31; HOU 23","BB"
2018090905,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU 52",NA,NA
2018090905,264,NA,NA,NA,4.21,"D","C","C","L","L",NA,NA,"NE 36","8-0-2",NA,NA,"NE 30; NE 32",NA,NA
2018090905,359,"OK",0.89,2.12,3.92,"N","L","L",NA,NA,NA,NA,NA,NA,"HOU 23; HOU 18",NA,NA,"NE 31; NE 32; NE 30","BF"
2018090905,497,"OK",0.88,2.2,4,"A","C","C",NA,NA,NA,NA,NA,NA,"NE 31; NE 18","HOU 28",NA,"HOU 31; HOU 23","CC"
2018090905,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE 32; NE 51",NA,NA
2018090905,867,NA,NA,NA,4.01,"D","C","C",NA,NA,NA,NA,NA,"8-0-1",NA,NA,"HOU 20; HOU 31",NA,NA
2018090905,1158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU 52",NA,NA
2018090905,1174,NA,NA,NA,3.8,"D","C","C","R","R",NA,NA,"NE 32","8-0-2",NA,NA,"NE 23; NE 32",NA,NA
2018090905,1378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NE 32; NE 51",NA,NA
2018090905,1397,NA,NA,NA,4.01,"D","C","C","C","C",NA,NA,"HOU 58","8-0-1",NA,NA,"HOU 20; HOU 31",NA,NA
2018090905,1555,"OK",0.9,2.27,4.18,"N","C","C","C","C",NA,"NE 51","NE 46",NA,"NE 18; NE 31","HOU 05","HOU 52","HOU 33; HOU 31; HOU 20; HOU 23","CC"
2018090905,1735,"OK",0.92,2.23,4.15,"N","C","C",NA,NA,NA,NA,NA,NA,"NE 18; NE 31","HOU 05","HOU 33; HOU 52","HOU 31; HOU 20; HOU 23","BB"
2018090905,1992,">",0.83,2.14,2.15,"A","C","C",NA,NA,NA,NA,NA,NA,"HOU 18; HOU 23","NE 33; NE 36; NE 53; NE 70; NE 91; NE 93",NA,"NE 31; NE 32","BF"
2018090905,2213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU 52",NA,NA
2018090905,2229,NA,NA,NA,4.21,"D","C","C",NA,NA,NA,NA,NA,"8-0-2",NA,NA,"NE 23; NE 32",NA,NA
2018090905,2300,NA,NA,NA,4.32,"D","R","R","C","C",NA,"NE 52","NE 30","8-0-2",NA,NA,"NE 23; NE 32",NA,NA
2018090905,2393,"OK",0.85,2.09,4.55,"N","L","L",NA,NA,NA,NA,NA,NA,"HOU 23; HOU 18","NE 70; NE 93",NA,"NE 31; NE 32","CC"
2018090905,2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU 33; HOU 52",NA,NA
2018090905,2902,NA,NA,NA,4.24,"D","C","C","R","R",NA,NA,"NE 52","8-0-2",NA,NA,"NE 23; NE 32",NA,NA
